MAKEDEV.x86_64                             3.24-6.el6
libuuid.x86_64                             2.17.2-12.24.el6_8.3
libxml2.x86_64                             2.7.6-21.el6_8.1
libxml2-devel.x86_64                       2.7.6-21.el6_8.1
libxslt.x86_64                             1.1.26-2.el6_3.1
libxslt-devel.x86_64                       1.1.26-2.el6_3.1
libyaml.x86_64                             0.1.3-4.el6_6
logrotate.x86_64                           3.7.8-26.el6_7
lsof.x86_64                                4.82-5.el6
lua.x86_64                                 5.1.4-4.1.el6
lzo.x86_64                                 2.03-3.1.el6_5.1
m4.x86_64                                  1.4.13-5.el6
mailx.x86_64                               12.4-8.el6_6
make.x86_64                                1:3.81-23.el6
man.x86_64                                 1.6f-32.el6
mdadm.x86_64                               3.3.4-1.el6_8.5
mingetty.x86_64                            1.08-5.el6
module-init-tools.x86_64                   3.9-25.el6
mpfr.x86_64                                2.4.1-6.el6
mysql-libs.x86_64                          5.1.73-8.el6_8
ncurses.x86_64                             5.7-4.20090207.el6
ncurses-base.x86_64                        5.7-4.20090207.el6
ncurses-libs.x86_64                        5.7-4.20090207.el6
net-tools.x86_64                           1.60-110.el6_2
newt.x86_64                                0.52.11-3.el6
newt-python.x86_64                         0.52.11-3.el6
nspr.x86_64                                4.11.0-1.el6
nss.x86_64                                 3.21.3-2.el6_8
nss-softokn.x86_64                         3.14.3-23.3.el6_8
nss-softokn-freebl.x86_64                  3.14.3-23.3.el6_8
nss-sysinit.x86_64                         3.21.3-2.el6_8
nss-tools.x86_64                           3.21.3-2.el6_8
nss-util.x86_64                            3.21.3-1.el6_8
openldap.x86_64                            2.4.40-12.el6
openssh.x86_64                             5.3p1-118.1.el6_8
openssh-clients.x86_64                     5.3p1-118.1.el6_8
openssh-server.x86_64                      5.3p1-118.1.el6_8
openssl.x86_64                             1.0.1e-48.el6_8.4
p11-kit.x86_64                             0.18.5-2.el6_5.2
p11-kit-trust.x86_64                       0.18.5-2.el6_5.2
pam.x86_64                                 1.1.1-22.el6
parted.x86_64                              2.1-29.el6
passwd.x86_64                              0.77-7.el6
patch.x86_64                               2.6-6.el6
pax.x86_64                                 3.4-10.1.el6
pciutils.x86_64                            3.1.10-4.el6
pciutils-libs.x86_64                       3.1.10-4.el6
pcre.x86_64                                7.8-7.el6
perl.x86_64                                4:5.10.1-141.el6_7.1
perl-CGI.x86_64                            3.51-141.el6_7.1
perl-Error.noarch                          1:0.17015-4.el6
perl-ExtUtils-MakeMaker.x86_64             6.55-141.el6_7.1
perl-ExtUtils-ParseXS.x86_64               1:2.2003.0-141.el6_7.1
perl-Git.noarch                            1.7.1-4.el6_7.1
perl-Module-Pluggable.x86_64               1:3.90-141.el6_7.1
perl-Pod-Escapes.x86_64                    1:1.04-141.el6_7.1
perl-Pod-Simple.x86_64                     1:3.13-141.el6_7.1
perl-Test-Harness.x86_64                   3.17-141.el6_7.1
perl-Test-Simple.x86_64                    0.92-141.el6_7.1
perl-devel.x86_64                          4:5.10.1-141.el6_7.1
perl-libs.x86_64                           4:5.10.1-141.el6_7.1
plymouth-core-libs.x86_64                  0.8.3-27.el6.centos.1
plymouth-scripts.x86_64                    0.8.3-27.el6.centos.1
policycoreutils.x86_64                     2.0.83-30.1.el6_8
policycoreutils-python.x86_64              2.0.83-30.1.el6_8
popt.x86_64                                1.13-7.el6
postfix.x86_64                             2:2.6.6-6.el6_7.1
ppl.x86_64                                 0.10.2-11.el6
procps.x86_64                              3.2.8-36.el6
psmisc.x86_64                              22.6-19.el6_5
pth.x86_64                                 2.0.7-9.3.el6
pygpgme.x86_64                             0.1-18.20090824bzr68.el6
python.x86_64                              2.6.6-66.el6_8
python-argparse.noarch                     1.2.1-2.1.el6
python-backports.x86_64                    1.0-5.el6
python-backports-ssl_match_hostname.noarch 3.4.0.2-4.el6.centos
python-chardet.noarch                      2.2.1-1.el6
python-cheetah.x86_64                      2.4.1-1.el6
python-configobj.noarch                    4.6.0-3.el6
python-crypto.x86_64                       2.0.1-22.el6
python-devel.x86_64                        2.6.6-66.el6_8
python-iniparse.noarch                     0.3.1-2.1.el6
python-jsonpatch.noarch                    1.2-2.el6.centos
python-jsonpointer.noarch                  1.0-3.el6.centos
python-libs.x86_64                         2.6.6-66.el6_8
python-lxml.x86_64                         2.2.3-1.1.el6
python-markdown.noarch                     2.0.1-3.1.el6
python-oauth.noarch                        1.0.1-1.el6.centos
python-paramiko.noarch                     1.7.5-2.1.el6
python-pip.noarch                          7.1.0-1.el6
python-prettytable.noarch                  0.7.2-1.el6.centos
python-progressbar.noarch                  2.3-2.el6
python-psutil.x86_64                       0.6.1-1.el6
python-pyasn1.noarch                       0.0.12a-1.el6
